coach,n_decisions,shrinkage_weight,last_season,punt_observed,punt_expected,punt_shrunk,field_goal_observed,field_goal_expected,field_goal_shrunk,go_for_it_observed,go_for_it_expected,go_for_it_shrunk,n_go_for_it_attempts,n_conversions,conversion_rate
Aaron Glenn,134,0.9305555555555556,2025,0.5074626865671642,0.501338,0.507037361462911,0.20149253731343283,0.20521839,0.20175127705766094,0.291044776119403,0.2934436,0.29121136044462526,39,18,0.46153846153846156
Aaron Kromer,37,0.7872340425531915,2012,0.6486486486486487,0.6534317,0.6496663220385288,0.24324324324324326,0.22807121,0.240015151652884,0.10810810810810811,0.118497014,0.11031851362674795,4,3,0.75
Adam Gase,566,0.9826388888888888,2020,0.6607773851590106,0.65539294,0.6606839052918885,0.1978798586572438,0.19418702,0.19781574679331645,0.1413427561837456,0.15042008,0.14150034869089723,80,31,0.3875
Andy Reid,1820,0.994535519125683,2025,0.5565934065934066,0.55720955,0.5565967735045595,0.2945054945054945,0.29254305,0.2944947707848471,0.1489010989010989,0.1502474,0.14890845571059347,271,171,0.6309963099630996
Anthony Lynn,407,0.9760191846522782,2020,0.5675675675675675,0.54793566,0.5670967785288675,0.2800982800982801,0.28731516,0.28027134676345533,0.15233415233415235,0.16474913,0.15263187363565112,62,36,0.5806451612903226
Antonio Pierce,189,0.949748743718593,2024,0.5291005291005291,0.4991842,0.5275971955390432,0.2804232804232804,0.27202973,0.2800014938541393,0.19047619047619047,0.22878607,0.1924013098580154,36,20,0.5555555555555556
Arthur Smith,331,0.9706744868035191,2023,0.5498489425981873,0.5417101,0.549610266238014,0.26586102719033233,0.25872168,0.265651662153932,0.18429003021148035,0.19956832,0.18473807379297497,61,27,0.4426229508196721
Ben Johnson,140,0.9333333333333333,2025,0.4142857142857143,0.4252432,0.41501621325810756,0.29285714285714287,0.34296888,0.2961979254086813,0.29285714285714287,0.23178792,0.2887858613332113,41,20,0.4878048780487805
Ben McAdoo,224,0.9572649572649573,2017,0.6651785714285714,0.6481932,0.664452700023977,0.17857142857142858,0.21805379,0.18025870888661116,0.15625,0.13375306,0.15528859236301518,35,16,0.45714285714285713
Bill Belichick,1663,0.9940227136879857,2023,0.5778713168971737,0.5610552,0.5777708020526637,0.28502705953096813,0.2968516,0.2850977382258035,0.1371016235718581,0.14209318,0.13713145954339573,228,121,0.5307017543859649
Bill Callahan,80,0.8888888888888888,2019,0.6375,0.6041258,0.6337917553053961,0.2875,0.29391724,0.2882130265235901,0.075,0.10195692,0.07799521320396,6,0,0.0
Bill O'Brien,779,0.9873257287705957,2020,0.5917843388960206,0.59141654,0.5917796772846855,0.25288831835686776,0.25312465,0.2528913137426243,0.15532734274711169,0.15545878,0.1553290085949674,121,55,0.45454545454545453
Brad Childress,67,0.8701298701298701,2010,0.6268656716417911,0.6234866,0.626426828372014,0.1791044776119403,0.17966308,0.17917702298659782,0.19402985074626866,0.19685039,0.19439615444703537,13,5,0.38461538461538464
Brandon Staley,341,0.9715099715099715,2023,0.5161290322580645,0.51939327,0.5162220303489272,0.2316715542521994,0.26366365,0.23258300995894646,0.25219941348973607,0.21694311,0.25119496054119533,86,47,0.5465116279069767
Brian Callahan,252,0.9618320610687023,2025,0.5436507936507936,0.5184644,0.5426894803993575,0.2261904761904762,0.20452045,0.2253633759176458,0.23015873015873015,0.27701515,0.23194714311425013,58,25,0.43103448275862066
